iso_code,continent,location,date,population,new_cases,new_deaths,total_cases,total_deaths,new_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_million,new_deaths_per_million,new_vaccinations_per_million,new_cases_ra7,new_deaths_ra7,new_vaccinations_ra7,new_cases_per_million_ra7,new_deaths_per_million_ra7,new_vaccinations_per_million_ra7
ITA,Europe,Italy,2021-07-10,59037472.0,1386.0,25.0,4268491.0,127756.0,569908.0,36031205.0,22891240.0,,23.47661498785043,0.4234598663032184,9653.326619405383,987.0,20.142857142857142,543142.0,16.71819552165106,0.3411876637071645,9199.953548146505
ITA,Europe,Italy,2021-07-11,59037472.0,1394.0,12.0,4269885.0,127768.0,411678.0,36090941.0,23245022.0,,23.612122145067456,0.2032607358255448,6973.164433599054,1053.428571428571,18.714285714285715,542660.7142857143,17.84338888068533,0.3169899570612663,9191.801340777502
ITA,Europe,Italy,2021-07-12,59037472.0,1391.0,7.0,4271276.0,127775.0,567970.0,36182613.0,23724750.0,,23.56130696111107,0.1185687625649011,9620.500010569558,1137.0,18.0,546407.4285714285,19.25895471947037,0.3048911037383172,9255.2646659977
ITA,Europe,Italy,2021-07-13,59037472.0,887.0,13.0,4272163.0,127788.0,572442.0,36272367.0,24210512.0,,15.024356056438188,0.2201991304776735,9696.248511453878,1195.142857142857,15.428571428571429,551128.2857142857,20.24380137995843,0.2613352317757004,9335.228407379736
ITA,Europe,Italy,2021-07-14,59037472.0,1530.0,20.0,4273693.0,127808.0,568179.0,36371218.0,24683818.0,,25.915743817756965,0.3387678930425747,9624.040135051851,1284.142857142857,14.857142857142858,553810.7142857143,21.751318503997886,0.2516561491173412,9380.664441148738
ITA,Europe,Italy,2021-07-15,59037472.0,2153.0,23.0,4275846.0,127831.0,615126.0,36474909.0,25199316.0,,36.46836368603317,0.3895830769989609,10419.24694878534,1447.428571428571,16.142857142857142,557865.2857142857,24.51711637362405,0.2734340850986496,9449.342372151124
ITA,Europe,Italy,2021-07-16,59037472.0,2473.0,9.0,4278319.0,127840.0,596984.0,36572904.0,25701855.0,,41.88864997471436,0.1524455518691586,10111.95059300642,1602.0,15.571428571428571,557469.5714285715,27.135308232710237,0.2637550024402903,9442.639607410212
ITA,Europe,Italy,2021-07-17,59037472.0,2895.0,11.0,4281214.0,127851.0,538587.0,36655480.0,26160218.0,,49.03665251791269,0.1863223411734161,9122.79916050606,1817.571428571429,13.571428571428571,552995.1428571428,30.78674216557627,0.2298782131360328,9366.849970424597
ITA,Europe,Italy,2021-07-18,59037472.0,3118.0,13.0,4284332.0,127864.0,445349.0,36742896.0,26519660.0,,52.8139145253374,0.2201991304776735,7543.49711993088,2063.8571428571427,13.714285714285714,557805.2857142857,34.958426791329124,0.2322979838006226,9448.326068472
ITA,Europe,Italy,2021-07-19,59037472.0,3126.0,3.0,4287458.0,127867.0,575210.0,36866175.0,26974798.0,,52.94942168255443,0.0508151839563862,9743.13398785097,2311.714285714286,13.142857142857142,558839.5714285715,39.15672889439246,0.2226189011422633,9465.845208083629
